dataset,method,pair,kendall_tau,spearman,iou_topk
blood-transfusion-service-center,multinom,LOCAL vs SHAP,-1.0000000,-1.0,0.5
blood-transfusion-service-center,naive_bayes,FEAT_IMP vs LIME,1.0000000,1.0,1.0
blood-transfusion-service-center,naive_bayes,FEAT_IMP vs LOCAL,-0.3333333,-0.4,0.5
blood-transfusion-service-center,naive_bayes,FEAT_IMP vs SHAP,1.0000000,1.0,1.0
blood-transfusion-service-center,naive_bayes,LIME vs SHAP,1.0000000,1.0,1.0
blood-transfusion-service-center,naive_bayes,LOCAL vs LIME,-0.3333333,-0.4,0.5
blood-transfusion-service-center,naive_bayes,LOCAL vs SHAP,-0.3333333,-0.4,0.5
blood-transfusion-service-center,rbfDDA,FEAT_IMP vs LIME,0.6666667,0.8,0.5
blood-transfusion-service-center,rbfDDA,FEAT_IMP vs LOCAL,-0.3333333,-0.4,0.5
blood-transfusion-service-center,rbfDDA,FEAT_IMP vs SHAP,0.6666667,0.8,0.5
blood-transfusion-service-center,rbfDDA,LIME vs SHAP,1.0000000,1.0,1.0
blood-transfusion-service-center,rbfDDA,LOCAL vs LIME,0.0000000,-0.2,0.5
blood-transfusion-service-center,rbfDDA,LOCAL vs SHAP,0.0000000,-0.2,0.5
blood-transfusion-service-center,rda,FEAT_IMP vs LIME,0.3333333,0.4,0.5
blood-transfusion-service-center,rda,FEAT_IMP vs LOCAL,-0.6666667,-0.8,0.5
blood-transfusion-service-center,rda,FEAT_IMP vs SHAP,0.0000000,0.2,0.5
blood-transfusion-service-center,rda,LIME vs SHAP,0.6666667,0.8,0.5
blood-transfusion-service-center,rda,LOCAL vs LIME,-0.6666667,-0.8,0.5
blood-transfusion-service-center,rda,LOCAL vs SHAP,-0.3333333,-0.4,0.5
blood-transfusion-service-center,rf,FEAT_IMP vs LIME,-0.3333333,-0.6,0.5
blood-transfusion-service-center,rf,FEAT_IMP vs LOCAL,-0.3333333,-0.4,0.5
blood-transfusion-service-center,rf,FEAT_IMP vs SHAP,-0.3333333,-0.6,0.5
blood-transfusion-service-center,rf,LIME vs SHAP,1.0000000,1.0,1.0
blood-transfusion-service-center,rf,LOCAL vs LIME,-0.3333333,-0.4,0.5
blood-transfusion-service-center,rf,LOCAL vs SHAP,-0.3333333,-0.4,0.5
blood-transfusion-service-center,rpart,FEAT_IMP vs LIME,0.3333333,0.4,1
blood-transfusion-service-center,rpart,FEAT_IMP vs LOCAL,1.0000000,1.0,1
blood-transfusion-service-center,rpart,FEAT_IMP vs SHAP,0.3333333,0.4,1
blood-transfusion-service-center,rpart,LIME vs SHAP,1.0000000,1.0,1
blood-transfusion-service-center,rpart,LOCAL vs LIME,0.3333333,0.4,1
blood-transfusion-service-center,rpart,LOCAL vs SHAP,0.3333333,0.4,1
blood-transfusion-service-center,simpls,FEAT_IMP vs LIME,0.6666667,0.8,1.0
blood-transfusion-service-center,simpls,FEAT_IMP vs LOCAL,-0.3333333,-0.4,0.5
blood-transfusion-service-center,simpls,FEAT_IMP vs SHAP,1.0000000,1.0,1.0
blood-transfusion-service-center,simpls,LIME vs SHAP,0.6666667,0.8,1.0
blood-transfusion-service-center,simpls,LOCAL vs LIME,-0.6666667,-0.8,0.5
blood-transfusion-service-center,simpls,LOCAL vs SHAP,-0.3333333,-0.4,0.5
breast-w,C5.0,FEAT_IMP vs LIME,0.0000000,-0.0333333,0.0
breast-w,C5.0,FEAT_IMP vs LOCAL,0.5555556,0.7166667,0.5
breast-w,C5.0,FEAT_IMP vs SHAP,0.6666667,0.8000000,0.5
breast-w,C5.0,LIME vs SHAP,0.0000000,-0.0500000,0.2
breast-w,C5.0,LOCAL vs LIME,-0.1111111,-0.1500000,0.0
breast-w,C5.0,LOCAL vs SHAP,0.6666667,0.8333333,0.5
breast-w,JRip,FEAT_IMP vs LIME,0.6111111,0.7500000,1
breast-w,JRip,FEAT_IMP vs LOCAL,0.6111111,0.7666667,1
breast-w,JRip,FEAT_IMP vs SHAP,0.7222222,0.8500000,1
breast-w,JRip,LIME vs SHAP,0.5555556,0.7000000,1
breast-w,JRip,LOCAL vs LIME,0.3333333,0.5500000,1
breast-w,JRip,LOCAL vs SHAP,0.3333333,0.5500000,1
breast-w,PART,FEAT_IMP vs LIME,0.6666667,0.8000000,0.5
breast-w,PART,FEAT_IMP vs LOCAL,0.5555556,0.7000000,0.5
breast-w,PART,FEAT_IMP vs SHAP,0.6666667,0.8000000,0.5
breast-w,PART,LIME vs SHAP,0.4444444,0.5833333,0.2
breast-w,PART,LOCAL vs LIME,0.4444444,0.6166667,0.5
breast-w,PART,LOCAL vs SHAP,0.3333333,0.4500000,0.2
breast-w,bayesglm,FEAT_IMP vs LIME,0.0000000,-0.0333333,0.2
breast-w,bayesglm,FEAT_IMP vs LOCAL,0.5555556,0.7500000,0.5
breast-w,bayesglm,FEAT_IMP vs SHAP,0.1666667,0.2166667,0.5
breast-w,bayesglm,LIME vs SHAP,0.3888889,0.3166667,0.2
breast-w,bayesglm,LOCAL vs LIME,-0.2222222,-0.2833333,0.2
breast-w,bayesglm,LOCAL vs SHAP,0.3888889,0.5333333,0.5
breast-w,ctree,FEAT_IMP vs LIME,0.3333333,0.5833333,0.5
breast-w,ctree,FEAT_IMP vs LOCAL,0.5555556,0.7666667,0.5
breast-w,ctree,FEAT_IMP vs SHAP,0.6666667,0.8000000,1.0
breast-w,ctree,LIME vs SHAP,0.5555556,0.7500000,0.5
breast-w,ctree,LOCAL vs LIME,0.5555556,0.7666667,0.5
breast-w,ctree,LOCAL vs SHAP,0.5555556,0.7500000,0.5
breast-w,fda,FEAT_IMP vs LIME,0.6111111,0.7666667,0.5
breast-w,fda,FEAT_IMP vs LOCAL,0.5000000,0.7500000,0.5
breast-w,fda,FEAT_IMP vs SHAP,0.6666667,0.8166667,0.5
breast-w,fda,LIME vs SHAP,0.8333333,0.9333333,1.0
breast-w,fda,LOCAL vs LIME,0.4444444,0.6166667,0.5
breast-w,fda,LOCAL vs SHAP,0.6111111,0.7833333,0.5
breast-w,gbm,FEAT_IMP vs LIME,0.1111111,0.2000000,0.5
breast-w,gbm,FEAT_IMP vs LOCAL,0.6111111,0.7166667,1.0
breast-w,gbm,FEAT_IMP vs SHAP,0.3333333,0.4666667,0.5
breast-w,gbm,LIME vs SHAP,0.5555556,0.8000000,0.5
breast-w,gbm,LOCAL vs LIME,0.1666667,0.2500000,0.5
breast-w,gbm,LOCAL vs SHAP,0.6111111,0.7166667,0.5
breast-w,gcvEarth,FEAT_IMP vs LIME,0.4444444,0.6000000,0.5
breast-w,gcvEarth,FEAT_IMP vs LOCAL,0.6666667,0.8166667,0.5
breast-w,gcvEarth,FEAT_IMP vs SHAP,0.7777778,0.9166667,0.5
breast-w,gcvEarth,LIME vs SHAP,0.6666667,0.7833333,0.5
breast-w,gcvEarth,LOCAL vs LIME,0.1111111,0.1833333,0.2
breast-w,gcvEarth,LOCAL vs SHAP,0.4444444,0.6000000,0.2
breast-w,knn,FEAT_IMP vs LIME,0.4444444,0.5500000,0.5
breast-w,knn,FEAT_IMP vs LOCAL,0.6666667,0.8333333,0.5
breast-w,knn,FEAT_IMP vs SHAP,0.7222222,0.8833333,0.5
breast-w,knn,LIME vs SHAP,0.6111111,0.7333333,1.0
breast-w,knn,LOCAL vs LIME,0.1111111,0.1666667,0.2
breast-w,knn,LOCAL vs SHAP,0.5000000,0.6166667,0.2
breast-w,mlpML,FEAT_IMP vs LIME,0.4444444,0.5500000,0.5
breast-w,mlpML,FEAT_IMP vs LOCAL,0.3888889,0.6500000,0.2
breast-w,mlpML,FEAT_IMP vs SHAP,0.8333333,0.9333333,1.0
breast-w,mlpML,LIME vs SHAP,0.5000000,0.6000000,0.5
breast-w,mlpML,LOCAL vs LIME,0.0555556,0.2000000,0.2
breast-w,mlpML,LOCAL vs SHAP,0.4444444,0.6666667,0.2
breast-w,multinom,FEAT_IMP vs LIME,0.7222222,0.8000000,0.5
breast-w,multinom,FEAT_IMP vs LOCAL,0.2222222,0.3333333,0.5
breast-w,multinom,FEAT_IMP vs SHAP,0.5555556,0.6666667,0.5
breast-w,multinom,LIME vs SHAP,0.5000000,0.5833333,0.5
breast-w,multinom,LOCAL vs LIME,-0.0555556,-0.0333333,0.2
breast-w,multinom,LOCAL vs SHAP,0.4444444,0.6000000,0.5
breast-w,naive_bayes,FEAT_IMP vs LIME,0.1666667,0.2833333,0.2
breast-w,naive_bayes,FEAT_IMP vs LOCAL,0.1111111,-0.0833333,0.2
breast-w,naive_bayes,FEAT_IMP vs SHAP,0.0555556,0.1166667,0.2
breast-w,naive_bayes,LIME vs SHAP,0.6666667,0.8500000,0.5
breast-w,naive_bayes,LOCAL vs LIME,0.0555556,0.1000000,0.2
breast-w,naive_bayes,LOCAL vs SHAP,0.3888889,0.5166667,0.5
breast-w,rbfDDA,FEAT_IMP vs LIME,0.6666667,0.7166667,0.5
breast-w,rbfDDA,FEAT_IMP vs LOCAL,0.3888889,0.5000000,0.5
breast-w,rbfDDA,FEAT_IMP vs SHAP,0.3888889,0.5333333,0.5
breast-w,rbfDDA,LIME vs SHAP,0.1666667,0.1833333,0.2
breast-w,rbfDDA,LOCAL vs LIME,0.1666667,0.2333333,0.5
breast-w,rbfDDA,LOCAL vs SHAP,0.4444444,0.5500000,0.5
breast-w,rda,FEAT_IMP vs LIME,0.7222222,0.8166667,1.0
breast-w,rda,FEAT_IMP vs LOCAL,0.3888889,0.5000000,0.2
breast-w,rda,FEAT_IMP vs SHAP,0.8333333,0.9333333,1.0
breast-w,rda,LIME vs SHAP,0.5555556,0.7166667,1.0
breast-w,rda,LOCAL vs LIME,0.1111111,0.1666667,0.2
breast-w,rda,LOCAL vs SHAP,0.4444444,0.5666667,0.2
breast-w,rf,FEAT_IMP vs LIME,0.5555556,0.7333333,0.5
breast-w,rf,FEAT_IMP vs LOCAL,0.5000000,0.6833333,0.5
breast-w,rf,FEAT_IMP vs SHAP,0.7222222,0.8833333,0.5
breast-w,rf,LIME vs SHAP,0.6111111,0.7333333,1.0
breast-w,rf,LOCAL vs LIME,0.3888889,0.4166667,0.5
breast-w,rf,LOCAL vs SHAP,0.6666667,0.8000000,0.5
breast-w,rpart,FEAT_IMP vs LIME,0.3888889,0.4666667,0.5
breast-w,rpart,FEAT_IMP vs LOCAL,0.6111111,0.7000000,0.5
breast-w,rpart,FEAT_IMP vs SHAP,0.5000000,0.6166667,0.5
breast-w,rpart,LIME vs SHAP,0.2222222,0.3166667,0.5
breast-w,rpart,LOCAL vs LIME,0.3333333,0.2833333,0.5
breast-w,rpart,LOCAL vs SHAP,0.5555556,0.7000000,1.0
breast-w,simpls,FEAT_IMP vs LIME,0.5555556,0.7333333,0.2
breast-w,simpls,FEAT_IMP vs LOCAL,0.6666667,0.8000000,0.5
breast-w,simpls,FEAT_IMP vs SHAP,0.6111111,0.8000000,0.2
breast-w,simpls,LIME vs SHAP,0.8333333,0.9333333,1.0
breast-w,simpls,LOCAL vs LIME,0.5555556,0.6666667,0.5
breast-w,simpls,LOCAL vs SHAP,0.6111111,0.8166667,0.5
cardiotocography,C5.0,FEAT_IMP vs LIME,-0.0117647,-0.0408964,0.5
cardiotocography,C5.0,FEAT_IMP vs LOCAL,-0.3333333,-0.5000000,0.5
cardiotocography,C5.0,FEAT_IMP vs SHAP,0.5394958,0.5655462,0.5
cardiotocography,C5.0,LIME vs SHAP,-0.0016807,-0.0114846,1.0
cardiotocography,C5.0,LOCAL vs LIME,1.0000000,1.0000000,1.0
cardiotocography,C5.0,LOCAL vs SHAP,0.3333333,0.5000000,1.0
cardiotocography,JRip,FEAT_IMP vs LOCAL,1.0000000,1.0000000,0.2
cardiotocography,JRip,FEAT_IMP vs SHAP,0.5294118,0.5565826,0.5
cardiotocography,JRip,LOCAL vs SHAP,1.0000000,1.0000000,0.5
cardiotocography,PART,FEAT_IMP vs LIME,-0.0453782,-0.0775910,0.5
cardiotocography,PART,FEAT_IMP vs LOCAL,-0.3333333,-0.5000000,0.5
cardiotocography,PART,FEAT_IMP vs SHAP,0.3546218,0.3002801,0.5
cardiotocography,PART,LIME vs SHAP,0.0890756,0.1464986,1.0
cardiotocography,PART,LOCAL vs LIME,1.0000000,1.0000000,1.0
cardiotocography,PART,LOCAL vs SHAP,0.3333333,0.5000000,1.0
cardiotocography,ctree,FEAT_IMP vs LIME,0.0655462,0.0714286,0.5
cardiotocography,ctree,FEAT_IMP vs LOCAL,-0.3333333,-0.5000000,0.5
cardiotocography,ctree,FEAT_IMP vs SHAP,0.5327731,0.5588235,0.5
cardiotocography,ctree,LIME vs SHAP,-0.0252101,-0.0120448,1.0
cardiotocography,ctree,LOCAL vs LIME,1.0000000,1.0000000,1.0
cardiotocography,ctree,LOCAL vs SHAP,0.3333333,0.5000000,1.0
cardiotocography,gbm,FEAT_IMP vs LIME,-0.1596639,-0.2462185,0.2
cardiotocography,gbm,FEAT_IMP vs LOCAL,-1.0000000,-1.0000000,0.2
cardiotocography,gbm,FEAT_IMP vs SHAP,0.5327731,0.5851541,0.2
cardiotocography,gbm,LIME vs SHAP,-0.1294118,-0.1658263,1.0
cardiotocography,gbm,LOCAL vs LIME,1.0000000,1.0000000,1.0
cardiotocography,gbm,LOCAL vs SHAP,0.3333333,0.5000000,1.0
cardiotocography,gcvEarth,FEAT_IMP vs LIME,0.3378151,0.4470588,0.5
cardiotocography,gcvEarth,FEAT_IMP vs LOCAL,-0.3333333,-0.5000000,0.5
cardiotocography,gcvEarth,FEAT_IMP vs SHAP,0.5563025,0.5697479,1.0
cardiotocography,gcvEarth,LIME vs SHAP,0.4050420,0.5378151,0.5
cardiotocography,gcvEarth,LOCAL vs LIME,1.0000000,1.0000000,1.0
cardiotocography,gcvEarth,LOCAL vs SHAP,0.3333333,0.5000000,0.5
cardiotocography,knn,FEAT_IMP vs LIME,0.1731092,0.2257703,0.2
cardiotocography,knn,FEAT_IMP vs LOCAL,0.3903743,0.5092437,0.2
cardiotocography,knn,FEAT_IMP vs SHAP,0.4453782,0.5985994,1.0
cardiotocography,knn,LIME vs SHAP,-0.0924370,-0.1425770,0.2
cardiotocography,knn,LOCAL vs LIME,-0.1122995,-0.1721925,0.2
cardiotocography,knn,LOCAL vs SHAP,0.4759358,0.5957219,0.2
cardiotocography,mlpML,FEAT_IMP vs LIME,0.0655462,0.0840336,0.2
cardiotocography,mlpML,FEAT_IMP vs LOCAL,0.3511586,0.4374332,0.0
cardiotocography,mlpML,FEAT_IMP vs SHAP,0.3815126,0.3347339,0.2
cardiotocography,mlpML,LIME vs SHAP,-0.1563025,-0.2226891,0.0
cardiotocography,mlpML,LOCAL vs LIME,-0.0089127,-0.0288770,0.0
cardiotocography,mlpML,LOCAL vs SHAP,0.4581105,0.5651642,0.0
cardiotocography,multinom,FEAT_IMP vs LIME,0.0319328,0.0355742,0.5
cardiotocography,multinom,FEAT_IMP vs LOCAL,0.2000000,0.2753501,0.5
cardiotocography,multinom,FEAT_IMP vs SHAP,0.2537815,0.3731092,0.5
cardiotocography,multinom,LIME vs SHAP,0.2941176,0.4148459,1.0
cardiotocography,multinom,LOCAL vs LIME,0.2000000,0.2521008,0.2
cardiotocography,multinom,LOCAL vs SHAP,0.5495798,0.7000000,0.2
cardiotocography,naive_bayes,FEAT_IMP vs LIME,0.3176471,0.4703081,0.2
cardiotocography,naive_bayes,FEAT_IMP vs LOCAL,-0.0303030,-0.0314171,0.2
cardiotocography,naive_bayes,FEAT_IMP vs SHAP,0.3680672,0.5442577,0.2
cardiotocography,naive_bayes,LIME vs SHAP,0.2302521,0.3285714,1.0
cardiotocography,naive_bayes,LOCAL vs LIME,0.0492424,0.0842246,1.0
cardiotocography,naive_bayes,LOCAL vs SHAP,0.2765152,0.4034091,1.0
cardiotocography,rbfDDA,FEAT_IMP vs LIME,-0.1058824,-0.1619048,0.0
cardiotocography,rbfDDA,FEAT_IMP vs LOCAL,0.2201681,0.2845938,0.0
cardiotocography,rbfDDA,FEAT_IMP vs SHAP,0.7647059,0.9095238,1.0
cardiotocography,rbfDDA,LIME vs SHAP,-0.0924370,-0.1554622,0.0
cardiotocography,rbfDDA,LOCAL vs LIME,-0.0184874,-0.0030812,0.5
cardiotocography,rbfDDA,LOCAL vs SHAP,0.3277311,0.4613445,0.0
cardiotocography,rda,FEAT_IMP vs LIME,0.0689076,0.1022409,0.5
cardiotocography,rda,FEAT_IMP vs LOCAL,0.4924370,0.6400560,0.2
cardiotocography,rda,FEAT_IMP vs SHAP,0.7411765,0.9103641,0.5
cardiotocography,rda,LIME vs SHAP,0.0050420,-0.0025210,0.5
cardiotocography,rda,LOCAL vs LIME,0.0252101,0.0215686,0.2
cardiotocography,rda,LOCAL vs SHAP,0.4621849,0.6366947,0.2
cardiotocography,rf,FEAT_IMP vs LIME,0.0319328,0.0285714,0.5
cardiotocography,rf,FEAT_IMP vs LOCAL,0.3333333,0.5000000,0.5
cardiotocography,rf,FEAT_IMP vs SHAP,0.3478992,0.4985994,1.0
cardiotocography,rf,LIME vs SHAP,0.2873950,0.3644258,0.5
cardiotocography,rf,LOCAL vs LIME,-0.3333333,-0.5000000,1.0
cardiotocography,rf,LOCAL vs SHAP,-0.3333333,-0.5000000,0.5
cardiotocography,rpart,FEAT_IMP vs LOCAL,1.0000000,1.0000000,0.6666667
cardiotocography,rpart,FEAT_IMP vs SHAP,0.4218487,0.2817927,1.0000000
cardiotocography,rpart,LOCAL vs SHAP,1.0000000,1.0000000,0.6666667
cardiotocography,simpls,FEAT_IMP vs LIME,0.2033613,0.2876751,1.0
cardiotocography,simpls,FEAT_IMP vs LOCAL,0.6451613,0.7661290,0.5
cardiotocography,simpls,FEAT_IMP vs SHAP,0.6773109,0.8425770,1.0
cardiotocography,simpls,LIME vs SHAP,0.1294118,0.2131653,1.0
cardiotocography,simpls,LOCAL vs LIME,0.0040323,0.0146628,0.5
cardiotocography,simpls,LOCAL vs SHAP,0.6048387,0.7741935,0.5
climate-model-simulation-crashes,C5.0,FEAT_IMP vs LIME,0.5163399,0.7007224,1
climate-model-simulation-crashes,C5.0,FEAT_IMP vs LOCAL,0.3856209,0.5521156,1
climate-model-simulation-crashes,C5.0,FEAT_IMP vs SHAP,0.5686275,0.7275542,1
climate-model-simulation-crashes,C5.0,LIME vs SHAP,0.5555556,0.6965944,1
climate-model-simulation-crashes,C5.0,LOCAL vs LIME,0.6862745,0.8142415,1
climate-model-simulation-crashes,C5.0,LOCAL vs SHAP,0.5555556,0.6924665,1
climate-model-simulation-crashes,JRip,FEAT_IMP vs LIME,0.3856209,0.5521156,0.5
climate-model-simulation-crashes,JRip,FEAT_IMP vs LOCAL,0.3071895,0.4014448,1.0
climate-model-simulation-crashes,JRip,FEAT_IMP vs SHAP,0.2810458,0.3560372,0.5
climate-model-simulation-crashes,JRip,LIME vs SHAP,0.1895425,0.3250774,1.0
climate-model-simulation-crashes,JRip,LOCAL vs LIME,0.4248366,0.5913313,0.5
climate-model-simulation-crashes,JRip,LOCAL vs SHAP,0.4509804,0.5810114,0.5
climate-model-simulation-crashes,PART,FEAT_IMP vs LIME,0.6862745,0.8369453,0.5
climate-model-simulation-crashes,PART,FEAT_IMP vs LOCAL,0.4248366,0.5583075,0.5
climate-model-simulation-crashes,PART,FEAT_IMP vs SHAP,0.5555556,0.7254902,1.0
climate-model-simulation-crashes,PART,LIME vs SHAP,0.6078431,0.7750258,0.5
climate-model-simulation-crashes,PART,LOCAL vs LIME,0.5032680,0.6388029,1.0
climate-model-simulation-crashes,PART,LOCAL vs SHAP,0.2941176,0.4365325,0.5
climate-model-simulation-crashes,bayesglm,FEAT_IMP vs LIME,0.4901961,0.6264190,0.5
climate-model-simulation-crashes,bayesglm,FEAT_IMP vs LOCAL,0.5163399,0.6842105,1.0
climate-model-simulation-crashes,bayesglm,FEAT_IMP vs SHAP,0.5816993,0.7337461,1.0
climate-model-simulation-crashes,bayesglm,LIME vs SHAP,0.8039216,0.9256966,0.5
climate-model-simulation-crashes,bayesglm,LOCAL vs LIME,0.6601307,0.8431373,0.5
climate-model-simulation-crashes,bayesglm,LOCAL vs SHAP,0.7254902,0.8720330,1.0
climate-model-simulation-crashes,ctree,FEAT_IMP vs LIME,0.2026144,0.2837977,1
climate-model-simulation-crashes,ctree,FEAT_IMP vs LOCAL,0.0980392,0.1723426,1
climate-model-simulation-crashes,ctree,FEAT_IMP vs SHAP,0.1503268,0.1909185,1
climate-model-simulation-crashes,ctree,LIME vs SHAP,0.6601307,0.8307534,1
climate-model-simulation-crashes,ctree,LOCAL vs LIME,0.5032680,0.6326109,1
climate-model-simulation-crashes,ctree,LOCAL vs SHAP,0.3464052,0.4798762,1
climate-model-simulation-crashes,fda,FEAT_IMP vs LIME,0.2418301,0.3601651,0.5
climate-model-simulation-crashes,fda,FEAT_IMP vs LOCAL,0.0065359,-0.0010320,0.2
climate-model-simulation-crashes,fda,FEAT_IMP vs SHAP,-0.1372549,-0.2383901,0.2
climate-model-simulation-crashes,fda,LIME vs SHAP,-0.1111111,-0.1269350,0.2
climate-model-simulation-crashes,fda,LOCAL vs LIME,-0.0457516,-0.0629515,0.2
climate-model-simulation-crashes,fda,LOCAL vs SHAP,-0.0588235,-0.0629515,0.2
climate-model-simulation-crashes,gbm,FEAT_IMP vs LIME,0.7254902,0.8348813,1
climate-model-simulation-crashes,gbm,FEAT_IMP vs LOCAL,0.5163399,0.6821465,1
climate-model-simulation-crashes,gbm,FEAT_IMP vs SHAP,0.6993464,0.8637771,1
climate-model-simulation-crashes,gbm,LIME vs SHAP,0.6862745,0.8555212,1
climate-model-simulation-crashes,gbm,LOCAL vs LIME,0.6078431,0.7461300,1
climate-model-simulation-crashes,gbm,LOCAL vs SHAP,0.6078431,0.7688338,1
climate-model-simulation-crashes,gcvEarth,FEAT_IMP vs LIME,0.4509804,0.6037152,0.5
climate-model-simulation-crashes,gcvEarth,FEAT_IMP vs LOCAL,0.3464052,0.5273478,1.0
climate-model-simulation-crashes,gcvEarth,FEAT_IMP vs SHAP,0.3725490,0.4901961,1.0
climate-model-simulation-crashes,gcvEarth,LIME vs SHAP,0.5032680,0.6532508,0.5
climate-model-simulation-crashes,gcvEarth,LOCAL vs LIME,0.4771242,0.6140351,0.5
climate-model-simulation-crashes,gcvEarth,LOCAL vs SHAP,0.5294118,0.6904025,1.0
climate-model-simulation-crashes,knn,FEAT_IMP vs LIME,0.4640523,0.6078431,0.5
climate-model-simulation-crashes,knn,FEAT_IMP vs LOCAL,0.4379085,0.4984520,0.5
climate-model-simulation-crashes,knn,FEAT_IMP vs SHAP,0.5424837,0.7399381,0.5
climate-model-simulation-crashes,knn,LIME vs SHAP,0.3986928,0.5438596,1.0
climate-model-simulation-crashes,knn,LOCAL vs LIME,0.7124183,0.8348813,0.5
climate-model-simulation-crashes,knn,LOCAL vs SHAP,0.3986928,0.5624355,0.5
climate-model-simulation-crashes,mlpML,FEAT_IMP vs LIME,0.8692810,0.9649123,1.0
climate-model-simulation-crashes,mlpML,FEAT_IMP vs LOCAL,0.6732026,0.8431373,0.5
climate-model-simulation-crashes,mlpML,FEAT_IMP vs SHAP,0.8300654,0.9463364,0.5
climate-model-simulation-crashes,mlpML,LIME vs SHAP,0.7516340,0.9029928,0.5
climate-model-simulation-crashes,mlpML,LOCAL vs LIME,0.6993464,0.8452012,0.5
climate-model-simulation-crashes,mlpML,LOCAL vs SHAP,0.6601307,0.8101135,1.0
climate-model-simulation-crashes,multinom,FEAT_IMP vs LIME,0.7777778,0.8782250,1.0
climate-model-simulation-crashes,multinom,FEAT_IMP vs LOCAL,0.7385621,0.8844169,1.0
climate-model-simulation-crashes,multinom,FEAT_IMP vs SHAP,0.7908497,0.8968008,0.5
climate-model-simulation-crashes,multinom,LIME vs SHAP,0.9346405,0.9834881,0.5
climate-model-simulation-crashes,multinom,LOCAL vs LIME,0.8039216,0.9401445,1.0
climate-model-simulation-crashes,multinom,LOCAL vs SHAP,0.8169935,0.9504644,0.5
climate-model-simulation-crashes,naive_bayes,FEAT_IMP vs LIME,0.4379085,0.5665635,0.5
climate-model-simulation-crashes,naive_bayes,FEAT_IMP vs LOCAL,0.4509804,0.6119711,0.5
climate-model-simulation-crashes,naive_bayes,FEAT_IMP vs SHAP,0.3986928,0.5872033,0.5
climate-model-simulation-crashes,naive_bayes,LIME vs SHAP,0.6732026,0.8224974,1.0
climate-model-simulation-crashes,naive_bayes,LOCAL vs LIME,0.5424837,0.6945304,1.0
climate-model-simulation-crashes,naive_bayes,LOCAL vs SHAP,0.7647059,0.8864809,1.0
climate-model-simulation-crashes,rbfDDA,FEAT_IMP vs LIME,0.1633987,0.1909185,0.2
climate-model-simulation-crashes,rbfDDA,FEAT_IMP vs LOCAL,0.3333333,0.4179567,0.5
climate-model-simulation-crashes,rbfDDA,FEAT_IMP vs SHAP,0.3333333,0.4406605,0.5
climate-model-simulation-crashes,rbfDDA,LIME vs SHAP,0.4640523,0.6119711,0.2
climate-model-simulation-crashes,rbfDDA,LOCAL vs LIME,0.0718954,0.1867905,0.5
climate-model-simulation-crashes,rbfDDA,LOCAL vs SHAP,0.2679739,0.3436533,0.5
climate-model-simulation-crashes,rda,FEAT_IMP vs LIME,0.5424837,0.6697626,1
climate-model-simulation-crashes,rda,FEAT_IMP vs LOCAL,0.6209150,0.7585139,1
climate-model-simulation-crashes,rda,FEAT_IMP vs SHAP,0.4901961,0.6284830,1
climate-model-simulation-crashes,rda,LIME vs SHAP,0.8954248,0.9772962,1
climate-model-simulation-crashes,rda,LOCAL vs LIME,0.7908497,0.9215686,1
climate-model-simulation-crashes,rda,LOCAL vs SHAP,0.7647059,0.9133127,1
climate-model-simulation-crashes,rf,FEAT_IMP vs LIME,0.5686275,0.7027864,1
climate-model-simulation-crashes,rf,FEAT_IMP vs LOCAL,0.1895425,0.3168215,1
climate-model-simulation-crashes,rf,FEAT_IMP vs SHAP,0.5947712,0.7316821,1
climate-model-simulation-crashes,rf,LIME vs SHAP,0.3464052,0.4984520,1
climate-model-simulation-crashes,rf,LOCAL vs LIME,0.3333333,0.4613003,1
climate-model-simulation-crashes,rf,LOCAL vs SHAP,0.3856209,0.5314757,1
climate-model-simulation-crashes,rpart,FEAT_IMP vs LOCAL,-0.0326797,-0.0712074,0
climate-model-simulation-crashes,rpart,FEAT_IMP vs SHAP,-0.3464052,-0.5314757,0
climate-model-simulation-crashes,rpart,LOCAL vs SHAP,-0.1503268,-0.1847265,0
climate-model-simulation-crashes,simpls,FEAT_IMP vs LIME,-0.0065359,0.0340557,0.5
climate-model-simulation-crashes,simpls,FEAT_IMP vs LOCAL,0.0718954,0.1042312,0.5
climate-model-simulation-crashes,simpls,FEAT_IMP vs SHAP,0.0065359,0.0134159,0.5
climate-model-simulation-crashes,simpls,LIME vs SHAP,0.9084967,0.9793602,0.5
climate-model-simulation-crashes,simpls,LOCAL vs LIME,0.8692810,0.9690402,0.5
climate-model-simulation-crashes,simpls,LOCAL vs SHAP,0.8562092,0.9422085,1.0
cmc,C5.0,FEAT_IMP vs LIME,0.5000000,0.7333333,0.5
cmc,C5.0,FEAT_IMP vs LOCAL,-1.0000000,-1.0000000,0.5
cmc,C5.0,FEAT_IMP vs SHAP,0.5000000,0.7000000,1.0
cmc,C5.0,LIME vs SHAP,0.5555556,0.5166667,0.5
cmc,C5.0,LOCAL vs LIME,1.0000000,1.0000000,0.2
cmc,C5.0,LOCAL vs SHAP,1.0000000,1.0000000,0.5
cmc,JRip,FEAT_IMP vs LIME,0.5555556,0.6833333,1.0
cmc,JRip,FEAT_IMP vs LOCAL,-1.0000000,-1.0000000,0.5
cmc,JRip,FEAT_IMP vs SHAP,0.5000000,0.7000000,1.0
cmc,JRip,LIME vs SHAP,0.6111111,0.7500000,1.0
